altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,sol,tmax,tmed,tmin,velmedia
687,31.0,2019-07-29,08,18,15:38,14:50,05:40,5514,GRANADA BASE AÉREA,"0,0","936,2","933,1",GRANADA,"9,4","13,5","34,0","25,0","16,0","3,1"
687,20.0,2019-07-30,08,18,Varias,15:25,04:50,5514,GRANADA BASE AÉREA,"0,0","937,0","933,2",GRANADA,"8,9","13,0","36,9","26,6","16,4","3,1"
687,20.0,2019-07-31,09,16,18:40,15:54,05:12,5514,GRANADA BASE AÉREA,"0,0","936,6","932,4",GRANADA,"10,0","11,1","36,6","28,4","20,1",
687,32.0,2019-08-01,24,18,14:46,16:20,05:30,5514,GRANADA BASE AÉREA,"0,0","936,1","933,7",GRANADA,"7,5","12,7","35,0","26,6","18,2","2,5"
687,21.0,2019-08-02,Varias,18,16:56,13:16,05:45,5514,GRANADA BASE AÉREA,"0,0","937,0","935,1",GRANADA,"9,2","11,3","36,5","27,6","18,8","3,1"
687,33.0,2019-08-03,Varias,18,13:27,15:18,05:16,5514,GRANADA BASE AÉREA,"0,0","937,0","934,6",GRANADA,"12,8","12,9","36,8","27,6","18,4","2,8"
687,30.0,2019-08-04,24,18,16:13,15:14,05:33,5514,GRANADA BASE AÉREA,"0,0","937,6","935,0",GRANADA,"8,6","13,0","37,1","27,8","18,4","2,5"
687,20.0,2019-08-05,00,18,13:23,14:45,04:34,5514,GRANADA BASE AÉREA,"0,0","937,6","934,4",GRANADA,"10,0","12,6","37,6","28,8","19,9","3,3"
687,26.0,2019-08-06,00,19,15:46,15:20,05:50,5514,GRANADA BASE AÉREA,"0,0","937,1","933,4",GRANADA,"11,4","12,3","39,4","29,2","19,0","3,1"
687,32.0,2019-08-07,23,16,13:36,14:50,06:10,5514,GRANADA BASE AÉREA,"0,0","937,3","935,4",GRANADA,"6,7","7,4","35,8","26,8","17,8","2,8"
687,25.0,2019-08-08,10,18,14:59,14:45,05:30,5514,GRANADA BASE AÉREA,"0,0","937,8","935,8",GRANADA,"12,2","12,2","39,0","27,7","16,4","2,8"
687,32.0,2019-08-09,24,00,14:36,15:05,05:10,5514,GRANADA BASE AÉREA,"0,0","940,0","937,7",GRANADA,"7,8","12,6","36,7","27,1","17,5","3,1"
687,35.0,2019-08-10,09,18,15:21,14:21,05:45,5514,GRANADA BASE AÉREA,"0,0","940,4","937,1",GRANADA,"7,5","12,6","36,6","27,2","17,9","2,8"
687,30.0,2019-08-11,09,18,14:31,13:48,04:12,5514,GRANADA BASE AÉREA,"0,0","938,8","936,7",GRANADA,"11,9","12,0","34,4","26,6","18,7","3,1"
687,33.0,2019-08-12,Varias,18,15:42,15:45,05:50,5514,GRANADA BASE AÉREA,"0,0","938,2","935,2",GRANADA,"6,7","10,3","32,2","24,0","15,7","2,2"
687,19.0,2019-08-13,24,Varias,17:58,15:10,05:30,5514,GRANADA BASE AÉREA,"0,0","940,6","938,0",GRANADA,"10,3","12,3","33,2","24,6","16,0","4,2"
687,13.0,2019-08-14,08,17,11:42,14:08,05:50,5514,GRANADA BASE AÉREA,"0,0","941,9","938,6",GRANADA,"9,2","13,0","34,6","25,7","16,8","2,8"
687,18.0,2019-08-15,09,17,14:05,13:43,05:22,5514,GRANADA BASE AÉREA,"0,0","941,1","938,1",GRANADA,"9,4","12,9","35,9","26,9","17,9","3,3"
687,18.0,2019-08-16,08,17,17:24,13:55,05:42,5514,GRANADA BASE AÉREA,"0,0","940,7","934,7",GRANADA,"10,0","12,9","37,6","28,0","18,5","3,3"
687,17.0,2019-08-17,00,17,16:03,13:55,05:32,5514,GRANADA BASE AÉREA,"0,0","939,7","935,7",GRANADA,"10,8","13,0","37,6","27,2","16,8","5,3"
687,27.0,2019-08-18,23,16,14:01,14:21,04:18,5514,GRANADA BASE AÉREA,"0,0","938,3","934,8",GRANADA,"10,8","13,0","37,5","27,6","17,8","4,2"
687,34.0,2019-08-19,23,16,14:45,15:00,05:10,5514,GRANADA BASE AÉREA,"0,0","938,2","935,2",GRANADA,"10,3","12,6","36,0","26,6","17,2","3,1"
687,19.0,2019-08-20,24,18,21:17,15:50,05:45,5514,GRANADA BASE AÉREA,"0,0","938,8","936,7",GRANADA,"8,9","12,4","34,5","25,2","16,0","3,1"
687,19.0,2019-08-21,23,16,15:46,14:20,05:30,5514,GRANADA BASE AÉREA,"0,0","941,1","937,5",GRANADA,"9,2","11,6","31,7","25,2","18,6","3,9"
687,19.0,2019-08-22,07,18,14:48,15:05,05:59,5514,GRANADA BASE AÉREA,"0,0","941,0","937,7",GRANADA,"10,3","11,7","31,4","24,9","18,4","3,9"
687,19.0,2019-08-23,10,18,18:18,14:26,15:47,5514,GRANADA BASE AÉREA,"0,0","940,8","937,9",GRANADA,"10,0","12,5","32,8","25,1","17,4","3,6"
687,19.0,2019-08-24,01,18,18:05,13:29,05:24,5514,GRANADA BASE AÉREA,"0,0","940,5","937,3",GRANADA,"10,3","12,6","33,3","25,0","16,8","3,9"
687,19.0,2019-08-25,00,18,18:53,11:57,05:03,5514,GRANADA BASE AÉREA,"0,0","939,6","935,1",GRANADA,"12,2","12,4","31,5","24,4","17,2","5,0"
687,18.0,2019-08-26,00,18,18:59,14:30,03:09,5514,GRANADA BASE AÉREA,"0,0","937,1","934,5",GRANADA,"14,2","5,8","29,2","24,3","19,4","3,3"
687,28.0,2019-08-27,23,16,17:13,15:10,05:40,5514,GRANADA BASE AÉREA,"0,0","939,8","936,2",GRANADA,"9,2","11,5","30,1","23,4","16,8","2,8"
687,19.0,2019-08-28,23,18,17:48,Varias,04:10,5514,GRANADA BASE AÉREA,"0,0","940,5","937,5",GRANADA,"10,8","12,2","33,1","24,1","15,1","3,9"
687,18.0,2019-08-29,24,06,14:22,12:44,01:10,5514,GRANADA BASE AÉREA,"0,0","942,2","939,9",GRANADA,"13,3","10,1","33,2","25,8","18,5","4,2"
687,7.0,2019-08-30,08,19,23:56,12:08,05:13,5514,GRANADA BASE AÉREA,"0,0","942,8","939,0",GRANADA,"12,5","12,5","33,7","25,2","16,8","4,7"
687,7.0,2019-08-31,00,16,00:01,14:10,05:17,5514,GRANADA BASE AÉREA,"0,0","941,0","936,8",GRANADA,"13,6","10,6","34,2","25,6","17,0","2,5"
687,18.0,2019-09-01,Varias,15,16:28,13:07,03:54,5514,GRANADA BASE AÉREA,"0,0","938,6","935,5",GRANADA,"10,3","12,1","34,3","25,6","16,8","2,8"
687,19.0,2019-09-02,00,04,16:40,12:00,05:30,5514,GRANADA BASE AÉREA,"0,0","941,0","937,0",GRANADA,"12,2","11,8","33,9","26,0","18,0","5,0"
687,7.0,2019-09-03,10,00,15:56,14:30,05:00,5514,GRANADA BASE AÉREA,"0,0","942,2","940,4",GRANADA,"9,4","8,4","33,0","24,6","16,2","2,2"
687,19.0,2019-09-04,00,14,14:15,12:50,23:00,5514,GRANADA BASE AÉREA,"0,4","942,0","938,9",GRANADA,"11,1","7,2","32,5","25,6","18,8","3,1"
687,19.0,2019-09-05,00,16,15:49,13:15,04:55,5514,GRANADA BASE AÉREA,"0,0","939,5","936,8",GRANADA,"11,4","6,8","32,4","23,8","15,3","2,5"
687,19.0,2019-09-06,Varias,17,11:55,15:10,04:53,5514,GRANADA BASE AÉREA,"0,0","939,5","937,0",GRANADA,"9,4","10,3","30,6","23,3","16,0","4,7"
687,8.0,2019-09-07,09,18,14:20,12:50,05:34,5514,GRANADA BASE AÉREA,"4,3","939,2","937,3",GRANADA,"11,4","9,5","29,2","22,7","16,2","3,1"
687,14.0,2019-09-08,23,14,13:58,12:40,14:11,5514,GRANADA BASE AÉREA,"45,0","940,3","938,0",GRANADA,"16,4","3,4","28,0","21,6","15,2","2,5"
687,32.0,2019-09-09,10,17,13:18,14:10,06:30,5514,GRANADA BASE AÉREA,"0,0","940,9","938,3",GRANADA,"9,2","7,9","27,3","20,6","14,0","1,9"
687,31.0,2019-09-10,00,16,13:57,15:30,06:50,5514,GRANADA BASE AÉREA,"0,0","938,8","934,8",GRANADA,"13,3","10,7","23,6","18,8","14,1","5,0"
687,6.0,2019-09-11,22,02,20:47,15:45,05:30,5514,GRANADA BASE AÉREA,"0,8","942,2","937,2",GRANADA,"11,7","5,6","21,2","17,4","13,7","5,0"
687,6.0,2019-09-12,11,06,16:14,15:55,01:00,5514,GRANADA BASE AÉREA,"5,1","943,1","940,4",GRANADA,"10,3","2,9","22,4","17,4","12,5","1,7"
687,17.0,2019-09-13,00,16,12:38,16:00,06:30,5514,GRANADA BASE AÉREA,"43,1","943,0","939,8",GRANADA,"11,1","6,6","24,8","19,0","13,2","3,1"
687,25.0,2019-09-14,10,18,03:47,16:15,04:20,5514,GRANADA BASE AÉREA,"0,0","941,8","939,0",GRANADA,"19,2","7,0","26,3","20,0","13,6","1,9"
687,30.0,2019-09-15,24,18,15:36,14:50,06:15,5514,GRANADA BASE AÉREA,"0,0","941,0","939,0",GRANADA,"7,5","10,6","28,4","22,5","16,6","2,5"
687,28.0,2019-09-16,10,15,14:00,15:20,05:30,5514,GRANADA BASE AÉREA,"0,0","941,2","938,7",GRANADA,"9,7","10,8","28,5","22,0","15,6","2,8"
687,10.0,2019-09-17,00,17,06:07,16:00,00:00,5514,GRANADA BASE AÉREA,"0,0","940,3","936,5",GRANADA,"6,9","6,3","27,9","22,9","17,9","2,5"
687,28.0,2019-09-18,24,15,17:58,16:10,04:20,5514,GRANADA BASE AÉREA,"0,0","938,6","936,9",GRANADA,"6,1","10,5","28,8","21,8","14,8","3,1"
687,19.0,2019-09-19,09,15,16:57,15:00,05:30,5514,GRANADA BASE AÉREA,"0,0","938,7","936,6",GRANADA,"8,3","10,2","29,6","21,6","13,6","4,2"
687,25.0,2019-09-20,00,16,16:36,13:45,04:20,5514,GRANADA BASE AÉREA,"0,0","938,5","935,0",GRANADA,"10,3","5,6","26,4","21,0","15,7","3,3"
687,17.0,2019-09-21,21,18,10:13,13:55,06:20,5514,GRANADA BASE AÉREA,"0,0","937,5","935,0",GRANADA,"9,4","2,4","25,9","21,2","16,4","1,7"
687,30.0,2019-09-22,22,04,15:02,14:00,06:10,5514,GRANADA BASE AÉREA,"0,0","940,7","936,4",GRANADA,"9,4","8,8","26,0","19,7","13,4","3,9"
687,30.0,2019-09-23,09,03,14:02,16:20,05:50,5514,GRANADA BASE AÉREA,"0,0","942,6","939,7",GRANADA,"5,8","9,4","27,5","19,2","10,8","2,5"
687,33.0,2019-09-24,10,18,15:12,16:10,06:20,5514,GRANADA BASE AÉREA,"0,0","942,8","939,2",GRANADA,"5,0","11,0","30,2","20,7","11,2","2,5"
687,27.0,2019-09-25,10,17,17:00,16:00,04:15,5514,GRANADA BASE AÉREA,"0,0","940,2","937,8",GRANADA,"6,7","11,0","29,2","21,0","12,8","3,1"
687,30.0,2019-09-26,10,17,13:53,14:50,04:40,5514,GRANADA BASE AÉREA,"0,0","941,6","939,4",GRANADA,"5,8","11,0","30,2","20,7","11,2","1,9"
687,30.0,2019-09-27,10,15,15:23,14:50,05:50,5514,GRANADA BASE AÉREA,"0,0","941,9","939,2",GRANADA,"7,5","11,0","30,8","21,3","11,8","2,5"
687,18.0,2019-09-28,10,Varias,15:33,15:20,06:30,5514,GRANADA BASE AÉREA,"0,0","942,3","940,0",GRANADA,"6,7","10,9","31,8","21,2","10,6","2,8"
687,28.0,2019-09-29,09,16,15:09,15:00,05:00,5514,GRANADA BASE AÉREA,"0,0","941,8","938,8",GRANADA,"8,9","10,8","32,6","22,4","12,1","3,3"
687,30.0,2019-09-30,00,17,12:22,16:00,06:20,5514,GRANADA BASE AÉREA,"0,0","940,4","937,8",GRANADA,"4,7","10,1","31,6","21,0","10,3","2,2"
687,28.0,2019-10-01,24,16,15:08,14:11,03:55,5514,GRANADA BASE AÉREA,"0,0","938,6","936,2",GRANADA,"8,9","9,6","29,6","20,9","12,2","2,8"
687,31.0,2019-10-02,22,15,14:46,14:00,04:50,5514,GRANADA BASE AÉREA,"0,0","940,5","937,6",GRANADA,"9,4","9,4","29,1","20,2","11,2","2,5"
687,30.0,2019-10-03,10,17,14:50,15:50,06:15,5514,GRANADA BASE AÉREA,"0,0","941,3","939,2",GRANADA,"7,2","10,6","27,2","18,2","9,3","2,5"
687,31.0,2019-10-04,00,15,15:49,14:50,04:20,5514,GRANADA BASE AÉREA,"0,0","940,8","937,5",GRANADA,"6,7","10,6","29,8","19,3","8,8","2,2"
687,30.0,2019-10-05,24,15,15:34,14:10,06:10,5514,GRANADA BASE AÉREA,"0,0","939,8","937,2",GRANADA,"6,4","8,7","30,2","19,8","9,5","1,9"
687,31.0,2019-10-06,09,18,14:00,15:20,05:15,5514,GRANADA BASE AÉREA,"0,0","941,3","939,3",GRANADA,"6,9","10,3","30,2","20,4","10,6","2,8"
687,30.0,2019-10-07,00,18,15:39,14:50,05:30,5514,GRANADA BASE AÉREA,"0,0","941,0","937,4",GRANADA,"6,9","10,2","32,4","21,4","10,5","1,7"
