altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,sol,tmax,tmed,tmin,velmedia
567,99.0,2018-02-26,00,16,Varias,16:06,06:55,5530E,GRANADA AEROPUERTO,"5,2","945,9","936,7",GRANADA,"10,3","9,4","19,7","8,7","-2,3","2,8"
567,27.0,2018-02-27,Varias,04,10:59,13:28,23:55,5530E,GRANADA AEROPUERTO,"1,2","941,5","939,1",GRANADA,"13,3","1,9","15,0","12,4","9,8","3,3"
567,26.0,2018-02-28,00,23,18:05,11:04,00:12,5530E,GRANADA AEROPUERTO,"5,6","940,0","932,7",GRANADA,"20,0","0,4","16,3","12,9","9,5","6,1"
567,23.0,2018-03-01,Varias,13,12:49,15:03,09:06,5530E,GRANADA AEROPUERTO,"15,3","939,4","925,9",GRANADA,"21,1","2,3","18,5","14,4","10,4","10,3"
567,25.0,2018-03-02,00,14,20:08,13:31,05:30,5530E,GRANADA AEROPUERTO,"33,3","939,7","935,4",GRANADA,"16,1","0,0","15,1","11,9","8,7","5,3"
567,99.0,2018-03-03,Varias,Varias,Varias,12:43,06:47,5530E,GRANADA AEROPUERTO,"5,3","941,5","937,7",GRANADA,"12,5","1,4","15,1","11,6","8,2","1,1"
567,29.0,2018-03-04,Varias,07,23:44,15:34,03:10,5530E,GRANADA AEROPUERTO,"9,4","939,3","934,0",GRANADA,"12,5","2,1","15,6","12,2","8,9","3,9"
567,26.0,2018-03-05,Varias,14,14:09,13:59,14:19,5530E,GRANADA AEROPUERTO,"10,8","940,7","931,4",GRANADA,"30,0","2,7","15,5","11,8","8,2","5,8"
567,99.0,2018-03-06,Varias,15,Varias,12:35,06:00,5530E,GRANADA AEROPUERTO,"7,9","943,2","938,7",GRANADA,"11,7","1,7","13,0","10,0","7,1","2,8"
567,35.0,2018-03-07,Varias,01,13:16,14:57,05:59,5530E,GRANADA AEROPUERTO,"12,1","947,2","942,8",GRANADA,"5,0","8,2","16,1","9,6","3,2","0,6"
567,99.0,2018-03-08,Varias,04,Varias,Varias,00:00,5530E,GRANADA AEROPUERTO,"1,8","950,9","941,9",GRANADA,"10,8","0,6","17,6","13,2","8,8","1,4"
567,99.0,2018-03-09,01,14,Varias,13:34,04:51,5530E,GRANADA AEROPUERTO,"0,6","950,8","947,4",GRANADA,"10,8","5,9","20,8","13,9","7,0","2,2"
567,24.0,2018-03-10,00,16,12:55,12:45,19:39,5530E,GRANADA AEROPUERTO,"9,7","947,9","942,2",GRANADA,"20,6","0,6","18,2","14,0","9,8","7,2"
567,28.0,2018-03-11,Varias,00,17:14,10:54,04:30,5530E,GRANADA AEROPUERTO,"9,0","951,1","943,6",GRANADA,"19,7","2,5","13,6","9,8","6,1","5,0"
567,27.0,2018-03-12,Varias,00,14:43,15:05,06:38,5530E,GRANADA AEROPUERTO,"1,2","954,8","951,1",GRANADA,"10,3","6,6","15,1","11,0","7,0","2,8"
567,27.0,2018-03-13,Varias,04,15:59,15:53,03:12,5530E,GRANADA AEROPUERTO,"1,2","953,7","951,1",GRANADA,"10,3","6,1","18,5","13,6","8,8","3,6"
567,22.0,2018-03-14,00,24,15:26,13:12,00:44,5530E,GRANADA AEROPUERTO,"6,8","952,6","940,6",GRANADA,"14,4","1,4","17,8","13,6","9,4","4,2"
567,27.0,2018-03-15,Varias,02,02:50,Varias,22:17,5530E,GRANADA AEROPUERTO,"3,8","943,9","938,4",GRANADA,"16,4","3,4","15,0","11,4","7,9","4,2"
567,34.0,2018-03-16,Varias,14,15:31,14:10,22:16,5530E,GRANADA AEROPUERTO,"3,7","945,4","941,9",GRANADA,"12,5","4,0","14,2","10,3","6,4","1,1"
567,22.0,2018-03-17,00,22,22:14,23:04,01:53,5530E,GRANADA AEROPUERTO,"28,7","945,3","934,6",GRANADA,"14,4","1,0","13,4","9,6","5,7","3,6"
567,30.0,2018-03-18,Varias,00,15:30,16:06,23:21,5530E,GRANADA AEROPUERTO,"0,2","948,7","936,2",GRANADA,"11,4","1,2","12,9","9,4","5,9","3,9"
567,27.0,2018-03-19,Varias,18,16:00,12:53,00:00,5530E,GRANADA AEROPUERTO,"9,5","950,0","942,1",GRANADA,"12,5","2,2","12,9","9,8","6,6","4,2"
567,36.0,2018-03-20,Varias,00,14:38,14:13,23:21,5530E,GRANADA AEROPUERTO,"1,2","953,2","945,6",GRANADA,"16,4","5,1","12,3","7,7","3,1","3,9"
567,3.0,2018-03-21,Varias,04,09:52,14:57,05:24,5530E,GRANADA AEROPUERTO,"0,0","956,4","952,7",GRANADA,"10,8","11,8","12,4","7,3","2,2","2,8"
567,32.0,2018-03-22,Varias,15,15:47,15:34,06:35,5530E,GRANADA AEROPUERTO,"0,0","957,4","954,8",GRANADA,"9,2","10,9","15,0","8,0","1,0","1,9"
567,27.0,2018-03-23,00,24,14:17,12:46,05:34,5530E,GRANADA AEROPUERTO,"10,1","956,2","943,6",GRANADA,"13,9","6,1","14,4","7,2","-0,1","4,4"
567,32.0,2018-03-24,Varias,04,10:59,15:36,06:19,5530E,GRANADA AEROPUERTO,"2,1","946,8","937,8",GRANADA,"18,6","4,7","13,2","10,2","7,1","7,2"
567,99.0,2018-03-25,Varias,13,Varias,16:15,23:59,5530E,GRANADA AEROPUERTO,"2,8","951,9","943,9",GRANADA,"10,8","1,2","13,3","9,0","4,6","0,6"
567,34.0,2018-03-26,Varias,00,15:58,15:48,05:33,5530E,GRANADA AEROPUERTO,"0,0","959,5","951,9",GRANADA,"9,2","10,7","17,9","9,5","1,1","2,2"
567,27.0,2018-03-27,Varias,16,16:54,15:43,06:02,5530E,GRANADA AEROPUERTO,"0,0","960,5","956,6",GRANADA,"8,3","12,1","22,5","12,6","2,7","1,7"
567,30.0,2018-03-28,00,17,15:52,15:29,06:25,5530E,GRANADA AEROPUERTO,"0,0","957,8","949,1",GRANADA,"7,8","12,0","24,4","13,6","2,9","1,7"
567,99.0,2018-03-29,00,17,Varias,13:22,06:26,5530E,GRANADA AEROPUERTO,"0,0","949,9","945,0",GRANADA,"10,8","11,1","18,4","11,4","4,3","3,9"
567,99.0,2018-03-30,Varias,15,Varias,13:40,04:38,5530E,GRANADA AEROPUERTO,"4,8","947,7","944,4",GRANADA,"16,4","2,7","13,4","9,6","5,7","5,3"
567,27.0,2018-03-31,Varias,01,01:00,15:15,23:58,5530E,GRANADA AEROPUERTO,"0,0","953,6","947,1",GRANADA,"13,3","10,7","15,8","10,4","4,9","2,2"
567,13.0,2018-04-01,00,17,12:29,14:26,06:07,5530E,GRANADA AEROPUERTO,"0,0","953,0","943,7",GRANADA,"9,7","11,0","22,8","12,2","1,5","1,7"
567,26.0,2018-04-02,Varias,16,Varias,13:55,06:21,5530E,GRANADA AEROPUERTO,"0,0","945,7","941,8",GRANADA,"9,7","7,4","23,3","15,2","7,1","1,9"
567,99.0,2018-04-03,Varias,15,Varias,15:31,01:48,5530E,GRANADA AEROPUERTO,Ip,"949,3","944,9",GRANADA,"9,7","8,2","21,5","15,3","9,1","3,3"
567,99.0,2018-04-04,Varias,00,Varias,14:41,23:54,5530E,GRANADA AEROPUERTO,"0,0","954,7","949,3",GRANADA,"9,7","10,4","19,3","13,4","7,5","3,1"
567,16.0,2018-04-05,00,24,22:04,16:47,05:34,5530E,GRANADA AEROPUERTO,"0,0","954,3","946,7",GRANADA,"9,2","11,2","25,7","14,7","3,7","1,1"
567,31.0,2018-04-06,00,15,15:29,13:37,05:41,5530E,GRANADA AEROPUERTO,"0,0","946,9","940,5",GRANADA,"11,4","6,4","25,0","18,2","11,3","2,5"
567,26.0,2018-04-07,Varias,04,17:27,16:57,22:36,5530E,GRANADA AEROPUERTO,"1,7","945,1","941,0",GRANADA,"13,3","1,1","14,2","10,8","7,3","6,1"
567,99.0,2018-04-08,Varias,02,Varias,16:11,03:45,5530E,GRANADA AEROPUERTO,"0,5","947,5","943,6",GRANADA,"11,7","2,9","16,8","12,4","8,0","4,7"
567,99.0,2018-04-09,Varias,00,Varias,14:09,06:18,5530E,GRANADA AEROPUERTO,"0,2","948,0","945,2",GRANADA,"11,7","7,7","15,2","9,8","4,3","4,2"
567,26.0,2018-04-10,00,18,18:47,09:39,23:58,5530E,GRANADA AEROPUERTO,"12,5","947,6","933,3",GRANADA,"16,9","1,1","13,5","10,0","6,6","3,9"
567,29.0,2018-04-11,Varias,04,15:29,16:54,02:30,5530E,GRANADA AEROPUERTO,"1,8","943,6","935,6",GRANADA,"15,0","7,2","14,6","10,2","5,9","6,9"
567,26.0,2018-04-12,Varias,17,17:00,12:05,05:48,5530E,GRANADA AEROPUERTO,"13,8","943,6","937,6",GRANADA,"20,6","0,6","14,2","10,8","7,3","1,9"
567,18.0,2018-04-13,Varias,03,Varias,11:41,23:30,5530E,GRANADA AEROPUERTO,"1,4","947,1","939,5",GRANADA,"8,9","4,2","15,1","10,2","5,3","2,5"
567,35.0,2018-04-14,Varias,00,15:52,15:42,04:47,5530E,GRANADA AEROPUERTO,"0,0","954,0","947,0",GRANADA,"9,2","7,7","20,0","11,6","3,3","2,5"
567,99.0,2018-04-15,Varias,16,Varias,14:57,02:21,5530E,GRANADA AEROPUERTO,"0,2","954,3","951,5",GRANADA,"9,2","9,8","21,0","15,3","9,6","3,3"
567,26.0,2018-04-16,Varias,01,03:17,15:05,23:58,5530E,GRANADA AEROPUERTO,"0,0","956,3","951,5",GRANADA,"11,7","11,5","19,6","13,8","8,0","3,6"
567,17.0,2018-04-17,Varias,16,17:53,15:53,06:03,5530E,GRANADA AEROPUERTO,"0,0","957,8","954,8",GRANADA,"7,2","12,7","25,7","15,0","4,3","1,9"
567,99.0,2018-04-18,00,18,Varias,14:00,05:13,5530E,GRANADA AEROPUERTO,"0,0","957,5","954,2",GRANADA,"10,3","12,6","25,5","16,0","6,6","3,3"
